SITE_ID,YEAR,VISIT_NO,DATE_COL,LOC_NAME,LAT_DD83,LON_DD83,HUC8
FW08KS001,2008,1,5-Aug-08,Twelvemile Creek,39.01490805,-98.01046463,10260010
FW08KS003,2008,1,11-Aug-08,Turkey Creek,37.3952849,-98.92627961,11060003
FW08KS005,2008,1,22-Jul-08,Thomas Creek,38.19892655,-95.42768365,10290101
FW08KS006,2008,1,12-Aug-08,Chikaskia River,37.47701976,-98.36534065,11060005
FW08KS012,2008,1,15-Jul-08,Spring Creek,37.78662431,-96.42997007,11070102
FW08KS036,2008,1,25-Aug-08,Arkansas River,37.99322599,-99.32134205,11030004
FW08KS039,2008,1,8-Jul-08,Blacksmith Creek,39.01570904,-95.84061299,10270102
FW08LA011,2008,1,16-Jul-08,Ouachita River,32.97480157,-92.07643968,8040202
FW08DE002,2008,1,20-Aug-08,James Branch,38.54260151,-75.5231013,2060008
FW08KS033,2008,1,29-Jul-08,Arkansas River,37.97450198,-101.7879598,11030001
FW08DE001,2008,2,3-Sep-08,Blackbird Creek,39.3588435,-75.67549416,2040205
FW08DE013,2008,1,13-Aug-08,Little Mill Creek,39.7302915,-75.59800358,2040205
FW08NV003,2008,1,16-Jun-08,Middle Fork Mill Creek,40.31657757,-116.901529,16040107
FW08NV069,2008,1,6-Aug-08,Salmon Falls Creek,41.88666095,-114.6866143,17040213
FW08NV003,2008,2,5-Aug-08,Mill Creek,40.31657757,-116.901529,16040107
FW08NV004,2008,1,9-Jul-08,Reed Creek,40.90311286,-115.224256,16040101
FW08NV004,2008,2,7-Aug-08,Reed Creek,40.90311286,-115.224256,16040101
FW08NV005,2008,1,12-Jun-08,Kingston Canyon,39.21792949,-117.0595203,16060004
FW08NV006,2008,1,24-Jun-08,Snow Creek,41.41766741,-116.0342696,17050105
FW08NV008,2008,1,15-Jul-08,Camp Creek,41.71522014,-115.2289633,17040213
FW08NV009,2008,1,10-Jun-08,Water Canyon,38.32750793,-114.2774604,15010013
FW08NV010,2008,1,25-Jun-08,Meadow Creek,41.80682461,-115.7046045,17050102
FW08NV011,2008,1,25-Jun-08,Bull Camp Creek,41.21398709,-116.3987168,16040106
FW08NV012,2008,1,3-Jun-08,Catnip,41.92147277,-119.4433402,17120008
FW08NV014,2008,1,26-Jun-08,Spring Creek,40.74129868,-115.5543686,16040103
FW08NV015,2008,1,27-Jun-08,Taylor Creek,41.01579472,-116.0832885,16040101
FW08NV019,2008,1,22-Jul-08,Humboldt River,40.70240853,-116.5235212,16040105
FW08NV019,2008,2,11-Aug-08,Humboldt River,40.70240853,-116.5235212,16040105
FW08NV022,2008,1,4-Jun-08,Quinn River,41.77179727,-117.8060453,16040201
FW08NV026,2008,1,5-Jun-08,Little Humboldt River,41.3973601,-117.4646693,16040109
FW08NV028,2008,1,17-Jun-08,Battle Creek,41.40884387,-118.9109046,16040202
FW08NV029,2008,1,11-Jun-08,Cleve Creek,39.21428861,-114.5413454,16060008
FW08NV031,2008,1,18-Jun-08,Unnamed Ditch,40.81470323,-115.8061406,16040101
FW08NV032,2008,1,10-Jun-08,Muddy River,36.6417447,-114.5318165,15010012
FW08NV033,2008,1,11-Jun-08,Duckwater Creek,38.85858259,-115.6673318,16060012
FW08NV034,2008,1,24-Jul-08,Humboldt River,40.91002543,-117.9097195,16040108
FW08NV035,2008,1,17-Jun-08,Rock Creek,40.68600234,-116.7624855,16040105
FW08NV037,2008,1,26-Jun-08,Bruneau River,41.87729618,-115.6285161,17050102
FW08NV038,2008,1,3-Jun-08,McDermitt Creek,41.9957489,-117.7707249,16040201
FW08NV049,2008,1,31-Jul-08,Unknown,38.8505517,-116.6048621,16060005
FW08NV040,2008,1,30-Jun-08,Carson River,39.08215943,-119.7573042,16050201
FW08NV050,2008,1,22-Jul-08,Humboldt River,40.41024065,-118.3154415,16040108
FW08CA044,2008,1,5-Sep-08,Pit River,41.48963055,-120.6045859,18020002
FW08NV051,2008,1,23-Jul-08,Humboldt River,40.64965565,-116.7790317,16040105
FW08NV053,2008,1,24-Jun-08,Salmon,41.95776506,-115.863833,17050102
FW08NV054,2008,1,8-Jul-08,Trout Creek,41.27385024,-118.4605996,16040201
FW08NV056,2008,1,1-Jul-08,Carson River,39.20075374,-119.6299202,16050202
FW08CA059,2008,1,7-Sep-08,North Fork Feather River,40.00190523,-121.2682255,18020121
FW08NV057,2008,1,16-Jul-08,North Fork Humboldt River,41.13161753,-115.4997593,16040102
FW08NV058,2008,1,24-Jul-08,Humboldt River,40.78824389,-117.0442313,16040105
